index,timestamp,bufferLevel_s,throughput_Mbps,latency_ms
0,12:12:19 AM,33.39,1000.61,5.75
1,12:12:27 AM,30.38,1040.19,5.5
2,12:12:35 AM,32.34,887.58,5
3,12:12:43 AM,34.29,1016.02,5.75
4,12:12:51 AM,31.29,1003.12,7.5
5,12:12:59 AM,33.24,110.64,12
6,12:13:07 AM,30.23,110.64,11.75
7,12:13:15 AM,32.17,110.64,10.5
8,12:13:23 AM,29.16,59.19,51.5
9,12:13:31 AM,31.1,33.54,143
10,12:13:39 AM,32.8,7.85,189.25
11,12:13:47 AM,29.78,7.82,189
12,12:13:55 AM,31.74,7.83,187.75
13,12:14:03 AM,28.73,7.82,187
14,12:14:11 AM,30.68,7.85,188.75
15,12:14:19 AM,32.64,7.84,189.25
16,12:14:27 AM,29.63,7.84,191.75
17,12:14:35 AM,31.59,7.84,189.25
18,12:14:43 AM,33.43,7.83,187.75
19,12:14:51 AM,30.52,7.85,187.25
20,12:14:59 AM,32.23,7.89,186.5
21,12:15:07 AM,29.2,7.9,186.25
22,12:15:15 AM,31.16,7.87,187.25
23,12:15:23 AM,33.09,7.87,100
24,12:15:31 AM,30.08,7.87,56.25
25,12:15:39 AM,32.04,7.87,10.75
26,12:15:47 AM,33.98,7.87,7.25
27,12:15:55 AM,30.97,7.87,7.25
28,12:16:03 AM,32.92,7.87,7
29,12:16:11 AM,34.76,7.87,7.5
30,12:16:19 AM,31.88,7.86,51.25
31,12:16:27 AM,28.61,7.85,96.5
32,12:16:35 AM,30.58,7.88,186.75
33,12:16:43 AM,32.53,7.88,186.75
34,12:16:51 AM,29.52,7.88,187.25
35,12:16:59 AM,31.47,7.87,188.25
36,12:17:07 AM,33.41,7.9,187.5
37,12:17:15 AM,30.4,7.9,187.25
38,12:17:23 AM,32.34,7.88,186.75
39,12:17:31 AM,29.35,7.87,187
40,12:17:39 AM,31.05,7.84,187
41,12:17:47 AM,32.97,7.83,187
42,12:17:55 AM,29.99,7.85,187.5
43,12:18:03 AM,31.95,7.86,187
44,12:18:11 AM,28.88,7.88,189
