index,timestamp,bufferLevel_s,throughput_Mbps,latency_ms
0,11:12:44 PM,63.13,477.91,211.5
1,11:12:52 PM,59.09,509.88,204.75
2,11:13:00 PM,63.09,483.03,209.75
3,11:13:08 PM,59.16,428.43,208
4,11:13:16 PM,63.19,479.61,162.25
5,11:13:24 PM,59.22,455.64,211
6,11:13:32 PM,59.25,444.76,201.5
7,11:13:40 PM,59.26,438.57,364.75
8,11:13:48 PM,55.3,368.69,363.25
9,11:13:56 PM,55.12,62.8,420.75
10,11:14:04 PM,51.1,46.21,415.25
11,11:14:12 PM,47.13,7.74,416.25
12,11:14:20 PM,39.16,7.74,416.25
13,11:14:28 PM,31.19,7.74,416.25
14,11:14:36 PM,23.22,7.74,416.25
15,11:14:44 PM,15.26,7.74,416.25
16,11:14:52 PM,11.26,7.77,274
17,11:15:00 PM,11.3,7.85,143
18,11:15:08 PM,11.33,7.88,186.25
19,11:15:16 PM,11.1,7.87,184.75
20,11:15:24 PM,11.1,7.86,185.75
21,11:15:32 PM,11.15,7.86,187.25
22,11:15:40 PM,15.12,10.77,187.75
23,11:15:48 PM,15.2,10.77,101.5
24,11:15:56 PM,15.24,10.77,15.25
25,11:16:04 PM,15.26,10.77,16.75
26,11:16:12 PM,15.18,10.77,16.75
27,11:16:20 PM,15.16,10.77,16.75
28,11:16:28 PM,15.09,10.77,19.25
29,11:16:36 PM,15.13,10.77,17.75
30,11:16:44 PM,11.16,10.77,15.5
31,11:16:52 PM,11.17,10.27,101.25
32,11:17:00 PM,11.21,7.83,187
33,11:17:08 PM,11.23,7.81,186
34,11:17:16 PM,11.27,7.83,186.75
35,11:17:24 PM,11.29,7.86,188.25
36,11:17:32 PM,11.3,7.83,188.25
37,11:17:40 PM,11.33,7.84,187
38,11:17:48 PM,11.1,7.84,186
39,11:17:56 PM,11.13,7.83,186
40,11:18:04 PM,11.15,7.83,186.75
41,11:18:12 PM,11.2,7.83,187.5
42,11:18:20 PM,11.22,7.85,188.5
43,11:18:28 PM,11.25,7.85,188.75
44,11:18:36 PM,11.28,7.85,187.25
